CHANGE,X,Y
0,220.0,400.0
2,0.0,400.0
2,0.0,350.0
2,160.0,350.0
2,160.0,300.0
2,220.0,300.0
2,220.0,625.0
2,260.0,625.0
2,260.0,425.0
2,20.0,425.0
2,20.0,350.0
0,40.0,425.0
2,40.0,450.0
2,280.0,450.0
2,280.0,600.0
2,100.0,600.0
2,100.0,350.0
0,60.0,350.0
2,60.0,475.0
2,280.0,475.0
0,80.0,475.0
2,80.0,500.0
2,280.0,500.0
0,220.0,625.0
2,140.0,625.0
2,140.0,350.0
2,220.0,350.0
0,160.0,325.0
2,220.0,325.0
0,180.0,300.0
2,180.0,625.0
0,0.0,375.0
2,220.0,375.0
0,100.0,575.0
2,280.0,575.0
2,280.0,550.0
2,100.0,550.0
2,100.0,525.0
2,280.0,525.0
0,0.0,372.9
1,2.5,374.0
1,7.5,375.3
1,12.5,377.0
1,14.1,377.9
1,17.5,379.3
1,22.5,380.5
1,27.5,380.5
1,30.0,379.0
1,33.0,377.9
1,36.7,377.2
1,39.0,374.6
1,42.3,373.5
1,42.3,374.7
1,47.0,373.2
1,49.1,373.0
1,51.7,375.3
1,55.5,376.3
1,56.6,380.7
1,59.9,380.0
1,61.8,376.1
1,67.0,375.6
1,71.3,377.1
1,73.3,376.5
1,74.7,373.8
1,76.7,371.8
1,77.4,368.4
1,80.3,366.5
1,79.0,364.0
1,81.0,367.0
1,78.2,369.0
1,77.9,372.4
1,75.8,375.0
1,75.3,376.8
1,72.3,380.4
1,69.2,379.2
1,64.0,380.7
1,59.1,384.4
1,56.9,386.8
1,53.4,385.0
1,51.6,379.5
1,45.4,378.6
1,41.4,381.9
1,40.0,381.5
1,38.6,383.4
1,35.5,386.5
1,33.0,385.1
1,28.7,385.0
1,25.5,388.0
1,23.6,391.3
1,19.5,394.8
1,19.8,396.7
1,25.3,400.0
1,30.0,402.3
1,33.0,401.3
1,33.1,399.9
1,35.1,397.1
1,37.8,393.2
1,40.3,395.8
1,41.7,396.6
1,44.5,396.0
1,46.9,396.7
1,48.5,395.6
1,53.7,396.0
1,54.6,394.0
1,56.0,394.4
1,60.0,393.0
1,62.5,391.0
1,62.7,388.3
1,65.0,385.0
1,68.7,382.9
1,71.0,384.5
1,74.1,384.0
1,73.7,391.2
1,70.3,393.3
1,63.8,394.0
1,62.1,396.8
1,60.7,397.3
1,60.7,398.3
1,57.8,400.0
1,58.2,401.4
1,60.5,401.8
1,63.3,403.4
1,66.0,403.1
1,67.0,402.3
1,70.6,402.6
1,71.1,403.7
1,67.6,403.5
1,65.8,406.0
1,67.6,408.0
1,72.0,406.0
1,77.0,405.3
1,81.0,406.5
1,84.5,408.0
1,87.2,411.5
1,88.5,412.4
1,93.8,410.8
1,100.7,412.3
1,103.3,414.0
1,109.0,415.0
1,106.5,415.3
1,108.0,416.7
1,100.0,414.0
1,95.7,412.9
1,91.3,414.4
1,87.2,415.3
1,83.2,417.8
1,76.3,420.3
1,74.5,423.7
1,72.0,424.7
1,70.3,426.5
1,65.5,427.7
1,61.7,434.0
0,34.3,401.5
1,35.0,399.1
1,38.0,396.6
1,38.0,394.5
1,42.1,397.5
1,45.2,396.7
1,47.4,397.5
1,48.9,396.1
1,51.8,398.1
1,49.3,402.3
1,45.0,403.0
1,39.5,401.7
1,38.1,402.5
1,34.3,401.5
1,33.0,401.0
0,49.3,396.3
1,49.5,395.6
0,39.2,410.0
1,37.0,412.0
1,36.9,414.1
1,38.4,416.9
1,43.5,418.5
1,49.1,417.8
1,51.5,418.3
1,53.0,417.0
1,57.4,417.0
1,57.2,415.7
1,59.5,414.0
1,60.2,411.7
1,62.2,411.5
1,66.3,408.5
1,63.0,405.1
1,62.3,405.6
1,59.5,404.1
1,56.6,403.8
1,54.5,406.2
1,54.0,405.5
1,51.4,406.0
1,50.5,409.8
1,45.5,412.5
1,39.2,410.0
0,50.3,422.7
1,49.4,425.5
1,50.6,426.9
1,58.3,429.3
1,60.6,429.0
1,63.7,425.8
1,67.4,423.8
1,72.5,421.2
1,75.8,418.2
1,77.6,415.9
1,79.9,414.8
1,84.4,411.0
1,83.6,409.6
1,78.0,408.1
1,75.0,409.7
1,70.4,411.7
1,68.2,413.8
1,63.3,414.3
1,61.5,419.0
1,61.4,421.9
1,59.0,425.0
1,55.5,425.5
1,50.3,422.7
0,81.0,415.9
1,83.9,416.4
1,83.6,417.0
1,77.5,419.0
1,77.0,418.5
1,81.0,415.9
0,61.7,434.0
1,60.2,443.2
1,62.0,444.8
1,66.5,445.5
1,70.7,450.0
1,75.0,455.0
1,80.0,459.8
1,85.0,465.9
1,90.0,474.7
1,100.0,499.7
1,101.4,505.0
1,104.3,525.0
1,105.0,530.0
1,109.4,545.0
1,109.8,550.0
1,110.0,551.5
1,112.5,553.2
1,115.0,550.0
1,116.0,547.3
1,120.5,544.6
1,125.0,546.6
1,126.4,549.0
1,129.3,549.9
1,131.1,550.2
1,132.3,548.6
1,136.5,540.0
1,135.8,532.0
1,137.0,530.0
1,139.0,527.9
1,140.4,527.8
1,141.9,529.8
1,148.0,528.4
1,149.7,524.5
1,147.0,522.3
1,145.4,522.0
1,144.8,518.8
1,142.3,516.6
1,139.6,515.1
1,137.4,514.8
1,137.0,516.0
1,135.0,517.0
1,132.0,517.0
1,130.0,515.7
1,130.8,510.0
1,132.8,505.0
1,134.6,501.8
1,132.8,500.0
1,133.3,497.9
1,132.0,496.4
1,132.0,494.7
1,134.6,494.3
1,135.1,495.7
1,138.0,497.1
1,135.7,497.7
1,135.1,495.7
0,134.6,494.3
1,133.3,491.8
1,130.6,490.0
1,129.5,487.4
1,126.2,486.4
1,130.0,483.8
1,135.0,483.4
1,137.6,481.6
1,140.0,479.6
1,145.5,480.4
1,148.8,478.6
1,149.8,476.2
1,153.6,475.4
1,156.4,473.2
1,162.0,475.0
1,164.8,475.1
1,167.0,481.0
1,174.9,487.9
1,179.0,490.0
1,183.6,494.0
1,186.3,499.0
1,187.6,503.5
1,186.8,507.2
1,184.8,510.7
1,185.8,513.7
1,189.0,514.8
1,191.0,514.1
1,195.8,515.6
1,197.7,517.5
1,195.4,519.0
1,194.0,517.0
1,185.2,514.0
1,173.3,514.0
0,172.2,513.5
1,173.3,512.2
1,180.0,510.5
1,183.6,510.3
1,186.5,507.1
1,186.8,503.7
1,186.4,501.0
1,183.0,494.8
1,179.5,492.0
1,177.9,492.1
1,173.0,489.5
1,170.0,486.4
1,167.0,486.6
1,165.2,484.5
1,166.2,481.4
1,164.6,476.2
1,156.3,473.8
1,150.0,479.6
1,146.0,482.0
1,141.8,483.2
1,138.9,482.7
0,137.6,481.6
1,138.8,482.7
1,137.0,487.7
1,154.5,500.0
1,158.0,503.3
1,160.0,507.2
1,162.3,507.6
1,167.0,511.9
1,172.8,514.3
1,169.0,519.3
1,169.0,525.0
1,169.0,531.0
1,173.6,538.3
1,176.9,538.7
1,176.0,539.8
1,173.3,539.7
1,172.3,541.5
1,170.6,540.4
1,166.0,538.5
1,160.0,540.8
1,157.6,540.2
1,153.0,543.6
1,153.0,545.0
1,156.3,547.0
1,155.7,550.7
1,156.5,551.6
1,155.7,556.0
1,156.2,558.8
1,153.5,565.0
1,154.5,569.0
1,155.9,570.0
1,156.5,576.5
1,159.0,581.5
1,165.0,586.5
1,167.8,590.0
1,170.0,591.4
1,175.0,593.0
1,180.0,595.0
1,185.0,598.0
1,190.0,600.0
1,195.0,602.0
1,200.0,602.5
1,205.0,602.2
1,207.6,603.4
1,209.3,602.6
1,212.5,603.6
1,216.0,601.4
1,222.0,604.0
1,225.0,605.0
1,230.0,605.0
1,235.0,606.4
1,240.0,608.8
1,245.0,610.0
1,250.0,608.0
1,255.0,600.2
1,255.8,597.0
1,259.0,594.3
1,264.3,591.9
1,267.7,592.0
1,269.1,592.8
1,268.1,590.9
1,267.6,587.5
1,272.1,584.8
1,276.6,584.5
1,278.2,587.0
1,278.8,594.3
1,280.0,594.3
1,280.0,595.0
1,275.0,595.7
1,270.0,595.7
1,264.0,595.8
1,262.3,598.3
1,263.0,600.0
0,110.0,556.2
1,109.0,560.0
1,110.0,563.7
1,115.0,572.3
1,119.0,577.5
1,119.7,577.6
1,120.6,576.5
1,122.8,572.0
1,122.0,565.7
1,120.0,563.0
1,116.6,560.0
1,114.8,557.8
1,111.0,555.8
1,110.0,556.2
0,120.0,582.0
1,124.3,585.0
1,130.0,589.8
1,133.5,591.4
1,135.8,591.0
1,135.7,590.0
1,134.0,589.1
1,130.0,587.8
1,127.0,586.6
1,128.0,584.7
1,124.0,581.2
1,120.0,582.0
0,139.4,597.7
1,141.6,600.0
1,143.0,601.7
1,160.0,606.0
1,165.0,607.5
1,168.3,605.4
1,165.0,604.0
1,160.0,602.2
1,155.0,601.8
1,152.0,599.6
1,150.0,599.0
1,148.9,598.3
1,145.0,597.8
1,141.4,595.4
1,139.6,596.2
1,139.4,597.7
0,170.0,607.0
1,170.5,608.5
1,171.7,609.4
1,176.0,608.3
1,180.0,608.3
1,185.0,609.0
1,190.0,609.4
1,192.2,609.1
1,193.4,608.5
1,193.0,608.0
1,190.0,608.0
1,182.8,605.8
1,180.0,606.0
1,177.5,606.4
1,176.1,604.9
1,174.4,604.3
1,171.0,605.0
1,170.0,607.0
0,204.8,607.9
1,203.5,609.0
1,204.4,611.3
1,207.5,613.3
1,209.0,613.0
1,216.0,614.0
1,217.8,613.7
1,217.8,613.0
1,214.5,611.9
1,212.0,610.5
1,208.8,609.9
1,206.3,609.8
1,204.8,608.0
1,204.8,607.8
0,225.0,619.1
1,230.0,617.7
1,228.4,616.8
1,226.4,616.6
1,224.5,617.6
1,224.3,618.4
1,225.0,619.1
0,233.4,618.9
1,236.6,618.2
1,235.0,618.0
1,232.9,618.0
1,233.4,618.9
0,241.2,625.0
1,239.9,624.5
1,239.1,623.0
1,239.9,622.0
1,245.0,621.0
1,244.0,623.0
1,245.2,624.2
1,249.4,624.7
0,70.3,411.7
1,69.6,410.8
1,66.2,410.2
1,65.4,409.4
0,39.8,410.0
1,39.8,408.5
1,37.2,405.2
1,36.8,402.5
0,47.0,418.0
1,47.5,419.5
1,49.5,420.5
1,50.3,422.5
0,81.8,413.3
1,86.2,413.0
1,87.3,411.5
0,64.3,429.3
1,62.2,427.2
0,131.5,549.6
1,149.2,564.7
1,152.3,565.5
1,154.5,567.5
0,158.5,504.5
1,157.6,504.4
1,157.7,505.5
1,158.8,508.2
1,160.5,508.8
1,159.7,511.7
1,155.7,518.0
1,153.0,521.0
1,149.0,522.7
1,147.7,522.8
0,276.7,585.0
1,277.0,580.0
1,275.6,575.0
1,276.5,570.0
1,274.5,550.0
1,270.0,540.0
1,268.5,535.0
1,268.2,525.0
1,267.0,517.5
1,260.0,517.8
1,255.0,519.0
1,250.0,519.2
1,245.0,516.7
1,245.2,512.0
1,248.5,509.3
1,242.8,508.0
1,244.5,504.5
1,244.0,500.7
1,248.0,498.2
1,254.8,498.0
1,254.7,497.0
1,260.9,495.4
1,263.8,499.2
1,265.4,494.8
1,268.4,491.4
1,269.8,486.3
1,266.8,479.0
1,268.5,475.0
1,269.7,474.0
1,268.0,472.3
1,264.3,472.0
1,260.0,466.7
1,255.0,460.1
1,249.1,459.8
1,247.6,455.0
1,244.7,454.3
1,244.3,451.0
1,248.3,450.0
1,254.2,445.0
1,251.9,440.0
1,250.0,437.3
1,246.8,435.0
1,245.0,437.0
1,240.0,435.5
1,235.0,433.4
1,230.0,430.0
1,225.0,431.7
1,224.0,431.5
1,225.0,430.4
1,225.0,427.0
1,222.0,429.0
1,218.3,429.3
1,217.0,431.9
1,212.0,431.3
1,208.5,435.0
1,205.0,435.0
1,205.0,434.0
1,208.5,430.6
1,208.7,428.3
1,201.6,430.9
1,199.5,428.5
1,197.0,427.1
1,194.6,427.6
1,193.5,426.2
1,193.8,425.0
1,195.0,424.2
1,196.7,420.0
1,195.0,416.8
1,199.7,415.0
1,199.6,410.0
1,205.0,408.0
1,204.7,405.0
1,203.8,402.2
1,206.3,400.0
1,209.7,395.0
1,212.3,390.0
1,212.9,385.0
1,212.1,380.0
1,213.6,377.3
1,213.3,375.0
1,210.0,371.8
1,208.8,370.0
1,202.9,361.8
1,203.8,359.6
1,202.6,359.4
1,203.0,355.0
1,205.0,353.8
1,209.4,356.4
1,210.4,355.5
1,207.6,354.0
1,210.2,352.4
1,205.3,350.0
1,200.0,345.2
1,199.1,345.0
1,195.8,340.0
1,195.0,338.8
1,193.7,338.7
1,191.9,342.1
1,188.6,340.4
1,190.0,336.2
1,191.3,334.3
1,190.8,331.8
1,195.0,333.2
1,200.0,332.8
1,198.6,330.0
1,200.0,327.3
1,204.7,326.0
1,204.3,325.0
1,204.2,320.0
1,200.0,317.7
1,199.6,317.7
1,200.0,314.8
1,198.5,312.6
1,197.2,313.7
1,196.3,312.2
1,200.0,309.8
1,199.8,307.3
1,195.0,308.0
1,191.0,307.2
1,190.2,309.0
1,185.0,307.4
1,182.0,310.4
1,180.0,308.4
1,175.8,307.5
1,177.1,310.0
1,176.5,313.6
1,173.9,315.0
1,173.2,320.0
1,175.0,321.3
1,178.8,325.0
1,180.0,327.7
1,180.7,330.0
1,179.0,329.6
1,178.4,330.0
1,179.7,332.3
1,181.7,335.0
1,181.0,338.0
1,182.0,341.5
1,183.9,341.3
1,184.0,345.0
1,185.5,345.0
1,186.2,346.0
1,185.0,346.6
1,184.5,347.0
1,187.0,350.0
1,187.8,350.7
1,185.7,353.3
1,182.2,351.3
1,181.6,355.0
1,177.5,354.8
1,174.0,355.0
1,173.5,356.5
1,167.1,359.2
1,166.8,364.1
1,164.0,367.3
1,161.8,367.9
1,160.5,366.1
1,158.9,365.9
1,157.1,363.7
1,152.6,365.0
1,151.5,363.8
1,144.1,364.1
1,144.9,368.6
1,142.0,370.3
1,139.3,369.0
1,137.3,369.7
1,137.2,373.2
1,133.0,378.3
1,135.3,382.4
1,133.6,387.0
1,131.3,387.0
1,130.5,388.8
1,128.8,387.0
1,128.5,384.0
1,123.0,378.5
1,120.0,380.9
1,113.3,380.1
1,112.1,381.1
1,112.0,382.5
1,116.2,381.7
1,116.3,385.0
1,115.0,389.8
1,112.5,390.8
1,105.0,382.2
1,100.0,382.7
1,95.0,381.9
1,96.0,388.5
1,90.0,387.1
1,85.2,385.0
1,86.1,384.0
1,85.2,381.8
1,88.4,376.3
1,85.2,374.4
1,82.2,374.7
1,81.7,377.0
1,75.8,376.8
1,74.2,375.0
1,75.1,374.3
1,69.7,367.8
1,63.0,363.1
1,60.0,362.3
1,55.0,359.5
1,50.0,358.0
1,50.0,360.0
1,44.0,359.0
1,43.5,364.3
1,35.0,367.8
1,29.7,370.0
1,29.0,368.0
1,24.5,368.2
1,25.2,363.5
1,20.0,363.2
1,15.0,366.9
1,14.8,370.0
1,14.9,375.0
1,14.1,377.9
0,128.0,487.0
3,125.7,488.4
3,122.0,488.2
3,119.0,492.0
3,109.5,494.3
3,105.5,497.5
3,100.0,498.0
0,79.0,364.0
3,88.0,361.0
3,87.0,358.0
3,82.5,355.5
3,82.0,351.0
3,81.0,350.0
0,65.0,445.0
3,69.0,443.0
3,74.1,439.1
3,79.1,435.0
3,81.5,434.3
3,83.0,430.2
3,85.0,428.8
3,87.9,428.7
3,91.0,427.3
3,97.3,427.3
3,98.8,425.0
3,102.3,423.7
3,105.5,426.2
3,111.0,426.1
3,113.3,425.3
3,116.5,425.7
3,120.7,425.8
3,120.7,425.8
3,123.5,426.7
3,131.4,425.5
3,134.4,426.5
3,137.8,425.1
3,140.3,425.4
3,142.7,424.7
3,146.0,425.5
3,150.0,426.1
3,152.5,423.9
3,156.6,428.6
3,160.0,433.5
3,164.0,433.7
3,168.0,434.9
3,176.0,434.1
3,180.0,432.9
3,184.0,431.8
3,188.0,429.3
3,190.0,431.5
3,193.0,431.5
3,195.0,429.6
3,196.2,431.0
3,198.0,432.8
3,200.5,431.6
3,204.0,429.2
3,208.7,428.3
3,211.0,427.1
3,215.0,426.8
3,218.0,424.6
3,220.0,420.5
0,81.5,434.3
3,85.0,435.0
3,91.5,435.0
3,94.0,437.0
3,95.0,435.0
3,98.0,435.5
3,102.1,433.8
3,106.0,433.8
3,109.0,434.5
3,112.0,436.3
3,115.3,437.3
3,117.0,439.2
3,122.5,439.4
3,124.4,441.8
3,126.2,441.2
3,128.0,443.2
3,130.5,442.3
3,134.5,445.9
3,138.0,445.1
3,138.7,442.7
3,142.5,441.2
3,144.6,443.3
3,150.4,440.7
3,152.4,442.3
3,155.0,442.3
3,158.3,444.1
3,162.0,443.8
3,166.8,440.7
3,171.0,439.2
3,173.0,440.7
3,179.5,442.5
3,182.0,441.2
3,185.5,442.8
3,187.5,442.4
3,189.6,443.9
3,194.0,440.3
3,194.9,438.0
3,198.0,435.0
3,200.5,431.6
0,102.2,414.9
3,102.8,418.0
3,102.3,423.7
0,120.7,425.8
3,117.9,423.6
3,113.7,423.4
3,111.9,422.0
3,110.5,419.0
3,108.0,416.7
0,102.1,433.8
3,103.3,431.5
3,105.8,428.0
3,105.5,426.2
0,109.0,415.0
3,111.3,415.2
3,115.5,413.8
3,120.0,414.8
3,125.0,415.0
3,131.5,413.7
3,135.6,416.0
3,140.0,417.2
3,143.5,417.2
3,145.5,416.1
3,147.0,416.8
3,149.0,416.5
3,153.2,419.0
3,154.0,422.8
3,156.5,426.0
3,158.0,424.8
3,160.5,424.8
3,162.0,426.9
3,164.0,425.7
3,166.0,425.5
3,167.0,426.6
3,172.5,425.5
3,174.0,423.0
3,176.0,422.3
3,177.0,420.9
3,179.1,420.1
3,181.0,418.3
3,188.0,418.9
3,190.0,415.0
3,194.2,413.7
3,195.0,410.0
3,195.1,407.0
3,199.0,403.5
3,199.5,400.6
3,200.7,397.0
3,203.0,395.6
3,205.3,395.5
3,207.0,392.9
3,209.2,391.0
3,210.0,386.5
3,208.3,383.5
3,208.0,380.0
3,209.3,376.5
3,206.0,372.8
3,204.8,369.0
3,201.0,366.5
3,198.3,364.0
3,198.2,361.0
3,196.5,359.0
3,196.0,355.8
3,192.9,355.0
3,194.6,353.0
3,191.0,353.0
3,188.5,351.4
3,186.8,349.2
3,184.5,347.5
3,186.2,345.5
3,183.9,345.0
3,184.0,341.5
3,182.0,341.3
3,181.1,338.0
3,182.3,337.0
3,178.5,330.0
3,181.1,329.2
3,178.9,325.0
3,177.0,324.6
3,175.7,321.0
3,176.9,319.5
3,177.0,310.0
3,175.8,307.5
3,176.5,304.0
3,175.0,300.0
0,184.0,510.8
3,188.0,510.4
3,190.8,508.5
3,193.0,505.8
3,194.0,503.5
3,197.5,505.2
3,198.0,503.0
3,201.1,500.0
3,203.5,498.0
3,203.7,495.5
3,205.9,492.0
3,205.0,488.2
3,202.0,487.0
3,203.9,484.3
3,203.1,481.8
3,205.3,475.3
3,208.0,473.0
3,209.9,469.5
3,207.6,468.0
3,210.3,465.5
3,209.4,463.0
3,209.8,459.2
3,211.5,458.5
3,211.5,456.4
3,209.0,456.0
3,204.7,451.0
3,206.1,449.0
3,204.0,445.3
3,201.0,447.6
3,198.0,445.5
3,196.5,443.0
3,193.8,442.0
3,194.0,440.3
0,197.8,516.8
3,199.5,516.0
3,201.2,516.9
3,202.9,513.5
3,202.2,512.0
3,203.5,508.5
3,201.7,506.5
3,201.3,504.0
3,199.8,502.0
0,203.5,508.5
4,206.5,504.5
4,210.7,504.0
4,214.0,501.8
4,216.0,502.4
4,217.3,504.0
4,221.0,504.0
4,222.0,503.3
4,227.0,503.6
4,230.0,505.4
4,231.5,503.4
4,233.0,504.7
4,234.6,503.8
4,238.0,508.2
4,238.4,510.9
4,241.0,514.5
4,244.0,515.6
4,245.6,514.5
4,251.5,513.2
4,256.2,514.2
4,260.8,510.5
4,261.0,505.5
4,262.0,503.3
4,263.0,503.7
4,265.5,500.6
4,270.0,495.0
4,273.0,492.0
4,277.8,489.2
4,277.5,485.8
4,280.0,484.0
0,223.0,503.5
4,225.0,500.9
4,226.3,500.9
4,227.5,499.3
4,226.6,495.2
4,228.2,494.0
4,228.9,490.5
4,228.3,487.8
4,230.0,484.5
4,233.5,481.5
4,236.5,481.8
4,238.5,477.6
0,262.0,503.4
4,262.0,497.6
4,261.1,495.5
4,262.3,493.0
4,262.3,490.7
4,264.0,487.9
4,266.8,485.0
4,266.8,481.0
4,267.0,477.0
4,265.7,472.4
4,267.0,470.5
4,266.4,468.0
4,268.5,466.0
4,269.0,464.0
4,272.4,462.0
0,210.0,462.0
4,215.0,462.5
4,220.0,464.0
4,225.0,464.5
4,228.0,463.6
4,230.5,460.8
4,234.4,459.4
4,239.2,459.2
4,244.3,458.4
4,247.3,456.5
4,249.2,457.0
4,251.6,451.1
4,257.5,448.0
4,260.0,446.2
0,205.7,447.0
4,212.0,445.5
4,216.8,442.1
4,217.6,439.8
4,221.2,437.0
4,223.6,434.6
4,224.2,430.7
4,229.0,428.0
4,233.8,425.0
0,196.1,356.0
4,197.3,355.3
4,198.0,351.2
4,204.0,350.0
4,204.4,346.5
4,208.3,343.8
4,210.0,340.8
4,213.6,339.6
4,216.9,335.6
4,218.0,330.8
0,178.3,324.3
4,179.7,321.5
4,182.5,320.3
4,186.0,319.7
4,189.4,318.0
4,191.7,314.0
4,192.6,312.0
4,192.6,309.0
4,194.0,307.0
0,145.6,416.0
4,149.0,412.0
4,148.6,410.0
4,150.2,407.0
4,152.4,406.3
4,151.9,403.1
4,150.3,401.0
4,150.9,399.2
4,155.2,399.0
4,159.0,397.0
4,162.0,396.8
4,163.0,393.8
4,163.8,389.5
4,163.8,386.3
4,162.0,384.6
4,160.5,380.8
4,157.5,379.0
4,157.6,376.0
4,160.0,370.0
4,158.5,365.3
4,157.2,362.0
4,158.6,358.0
0,84.5,408.2
4,90.0,403.3
4,92.5,403.8
4,94.7,402.3
4,98.3,404.8
4,102.5,404.4
4,110.0,406.2
4,112.0,405.0
4,111.5,402.0
4,113.6,397.2
4,112.8,394.0
4,113.0,390.5
4,110.3,386.0
0,151.2,476.2
4,151.0,474.0
4,149.5,471.4
4,149.8,467.0
4,154.3,464.0
0,133.3,483.3
4,133.0,481.3
4,131.6,480.0
4,134.2,478.6
4,130.2,476.0
4,131.6,473.5
4,128.7,465.2
4,130.0,462.9
4,136.0,457.5
4,139.2,453.6
4,141.5,454.4
4,145.2,450.0
4,146.9,447.1
4,152.5,443.8
4,152.5,442.4
0,136.5,456.3
4,134.5,454.9
4,131.5,454.9
4,125.5,455.8
4,123.5,457.6
4,119.5,455.3
4,115.6,454.6
4,110.8,455.5
4,110.0,457.8
4,105.4,459.7
4,105.2,461.7
4,99.5,460.3
4,96.2,462.0
4,95.2,464.0
4,91.7,463.0
4,90.5,465.0
4,89.5,468.1
4,87.3,469.7
0,999.9,999.9
